time,symbol,score,signal,position,action,close_price
2025-10-29 16:00:00,SOL,0.0,空,short,hold,194.5
2025-10-29 20:00:00,BTC,16.6,空,short,hold,113139.13
2025-10-29 20:00:00,ETH,29.4,空,short,open_short,4016.01
2025-10-29 20:00:00,SOL,47.3,中性,flat,reduce_short,199.87
2025-10-30 00:00:00,BTC,3.7,空,short,hold,111106.35
2025-10-30 00:00:00,ETH,8.7,空,short,hold,3962.21
2025-10-30 00:00:00,SOL,22.7,空,short,open_short,195.35
2025-10-30 04:00:00,BTC,25.7,空,flat,reduce_short,111433.46
2025-10-30 04:00:00,ETH,34.6,空,flat,reduce_short,3951.47
2025-10-30 04:00:00,SOL,54.0,中性,flat,reduce_short,195.56
2025-10-30 08:00:00,BTC,10.7,空,short,open_short,110559.48
